disease	summary	symptom
Bartter syndrome	"<p>Bartter syndrome is a group of rare conditions that affect the kidneys.</p></div>"	</div></div><div class="section-body" id="section-2"><p>This disease usually occurs in childhood. Symptoms include:</p><ul><li><a test="test" href="./003125.htm">Constipation</a></li><li>Rate of weight gain is much lower than that of other children of similar age and gender (<a test="test" href="./000991.htm">growth failure</a>)</li><li>Needing to urinate more often than usual (<a test="test" href="./003140.htm">urinary frequency</a>)</li><li>Low blood pressure</li><li>Kidney stones</li><li>
Beriberi	"<p>Beriberi is a disease in which the body does not have enough <a test="test" href="./002401.htm">thiamine</a> (vitamin B1).</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of dry beriberi include:</p><ul><li>Difficulty walking</li><li><a test="test" href="./003206.htm">Loss of feeling (sensation)</a> in hands and feet</li><li>Loss of muscle function or paralysis of the lower legs</li><li>Mental confusion/speech difficulties</li><li>Pain</li><li>Strange eye movements (nystagmus)</li><li>Tingling</li><li>Vomiting</li></ul><p>Symptoms of wet beriberi include:</p><ul><li>Awakening at night short of breath</li><li>Increased heart rate</li><li>Shortness of breath with activity</li><li>Swelling of the lower legs</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bulimia	"<p>Bulimia is an eating disorder in which a person has regular episodes of eating a very large amount of food (bingeing) during which the person feels a loss of control over eating. The person then uses different ways, such as vomiting or laxatives (purging), to prevent weight gain.</p><p>Many people with bulimia also have <a test="test" href="./000362.htm">anorexia nervosa</a>.</p></div>"	</div></div><div class="section-body" id="section-2"><p>With bulimia, eating binges may occur as often as several times a day for many months. The person often eats large amounts of high-calorie foods, usually in secret. During these episodes, the person feels a lack of control over the eating.</p><p>Binges lead to self-disgust, which causes purging to prevent weight gain. Purging may include:</p><ul><li>Forcing oneself to vomit</li><li>Excessive exercise</li><li>Using laxatives, enemas, or diuretics (water pills) </li></ul><p>Purging often brings a sense of relief.</p><p>People with bulimia are often at a normal weight, but they may see themselves as being overweight. Because the person\'s weight is often normal, other people may not notice this eating disorder.</p><p>Symptoms that other people can see include:</p><ul><li>Spending a lot of time exercising</li><li>Suddenly eating large amounts of food or buying large amounts of food that disappear right away</li><li>Regularly going to the bathroom right after meals</li><li>Throwing away packages of laxatives, diet pills, emetics (drugs that cause vomiting), or diuretics </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bursitis	"<p>Bursitis is the swelling and irritation of a bursa. A bursa is a fluid-filled sac that acts as a cushion between a muscles, tendons, and bones.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of bursitis may include any of the following:</p><ul><li><a test="test" href="./003261.htm">Joint pain</a> and tenderness when you press around the joint</li><li>Stiffness and aching when you move the affected joint</li><li><a test="test" href="./003103.htm">Swelling</a>, warmth or redness over the joint</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Treatment</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bilateral hydronephrosis	"<p>Bilateral hydronephrosis is the enlargement of the parts of the kidney that collect urine. Bilateral means both sides.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Signs of a problem are often found in a baby before birth during a pregnancy ultrasound.</p><p>A <a test="test" href="./000521.htm">urinary tract infection</a> in a newborn baby can signal a blockage in the kidney. An older child who gets repeat urinary tract infections should also be checked for blockage.</p><p>A higher than normal number of urinary tract infections is often the only symptom of the problem.</p><p>Common symptoms in adults may include:</p><ul><li>Back pain </li><li>Nausea, vomiting </li><li>Fever </li><li>Need to urinate often</li><li>Decreased urine output </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bladder cancer	"<p>Bladder cancer is a cancer that starts in the bladder. The bladder is the body part that holds and releases urine. It is in the center of the lower abdomen.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of bladder cancer can include:</p><ul><li><a test="test" href="./003120.htm">Abdominal pain</a></li><li><a test="test" href="./003138.htm">Blood in the urine</a></li><li><a test="test" href="./003180.htm">Bone pain or tenderness</a> if the cancer spreads to the bone</li><li>Fatigue</li><li><a test="test" href="./003145.htm">Painful urination</a></li><li><a test="test" href="./003140.htm">Urinary frequency and urgency</a></li><li><a test="test" href="./003142.htm">Urine leakage (incontinence)</a></li><li><a test="test" href="./003107.htm">Weight loss</a></li></ul><p>Other diseases and conditions can cause similar symptoms. It is important to see a doctor to rule out all other possible causes.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Brucellosis	"<p>Brucellosis is an infectious disease that occurs from contact with animals carrying brucella bacteria.</p></div>"	</div></div><div class="section-body" id="section-2"><p><a test="test" href="./002215.htm">Acute</a> brucellosis may begin with mild <a test="test" href="./000080.htm">flu-like</a> symptoms, or symptoms such as:</p><ul><li>Abdominal pain</li><li>Back pain</li><li>Chills</li><li>Excessive sweating</li><li>Fatigue</li><li>Fever</li><li>Headache</li><li>Joint and muscle pain</li><li>Loss of appetite</li><li>Swollen glands</li><li>Weakness</li><li>Weight loss</li></ul><p>High fever spikes often occur every afternoon. The name undulant fever is often used to describe this disease because the fever rises and falls in waves.</p><p>The illness may be <a test="test" href="./002312.htm">chronic</a> and last for years.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Botulism	"<p>Botulism is a rare but serious illness caused by <em>Clostridium botulinum</em> bacteria. The bacteria may enter the body through wounds, or by eating them from improperly canned or preserved food.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms often appear 8 to 36 hours after you eat food contaminated with the toxin. There is NO fever with this infection.</p><p>In adults, symptoms may include:</p><ul><li>Abdominal cramps</li><li><a test="test" href="./003075.htm">Breathing difficulty</a> that may lead to respiratory failure</li><li>Difficulty swallowing and speaking</li><li><a test="test" href="./003029.htm">Double vision</a></li><li>Nausea</li><li>Vomiting</li><li>Weakness with paralysis (equal on both sides of the body)</li></ul><p>Symptoms in infants may include:</p><ul><li>Constipation</li><li>Drooling</li><li>Poor feeding and weak sucking</li><li>Respiratory distress</li><li>Weak cry</li><li>Weakness, loss of muscle tone</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Becker muscular dystrophy	"<p>Becker muscular dystrophy is an inherited disorder that involves slowly worsening <a test="test" href="./003174.htm">muscle weakness</a> of the legs and pelvis.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Females rarely develop symptoms. Males will develop symptoms if they inherit the defective gene. Symptoms most often appear in boys between ages 5 and 15, but may begin later.</p><p>Muscle weakness of the lower body, including the legs and pelvis area, slowly gets worse, causing:</p><ul><li>Difficulty walking that gets worse over time; by age 25 to 30, the person is usually unable to walk</li><li>Frequent falls</li><li>Difficulty getting up from the floor and climbing stairs</li><li>Difficulty with running, hopping, and jumping</li><li>Loss of muscle mass</li><li>Toe walking</li><li>Muscle weakness in the arms, neck, and other areas is not as severe as in the lower body </li></ul><p>Other symptoms may include:</p><ul><li>Breathing problems</li><li>Cognitive problems (these do not get worse over time)</li><li><a test="test" href="./003088.htm">Fatigue</a></li><li>Loss of balance and coordination </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Brain tumor - children	"<p>A brain tumor is a group (mass) of abnormal cells that start in the brain. </p><p>This article focuses on primary brain tumors in children.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may be subtle and only gradually become worse, or they may occur very quickly.</p><p>Headaches are often the most common symptom. But only very rarely do children with headaches have a tumor. Headache patterns that may occur with brain tumors include:</p><ul><li>Headaches that are worse when waking up in the morning and go away within a few hours</li><li>Headaches that get worse with coughing or exercise, or with a change in body position</li><li>Headaches that occur while sleeping and with at least one other symptom such as vomiting or confusion </li></ul><p>Sometimes, the only symptoms of brain tumors are mental changes, which may include:</p><ul><li>Changes in personality and behavior</li><li>Unable to concentrate</li><li>Increased sleep</li><li>Memory loss</li><li>Problems with reasoning </li></ul><p>Other possible symptoms are:</p><ul><li>Gradual loss of movement or feeling in an arm or leg</li><li>Hearing loss with or without dizziness</li><li>Speech difficulty</li><li>Unexpected vision problem (especially if it occurs with a headache), including vision loss (usually of peripheral vision) in one or both eyes, or double vision</li><li>Problems with balance</li><li>Weakness or numbness </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bell palsy	"<p>Bell palsy is a disorder of the nerve that controls movement of the muscles in the face. This nerve is called the facial or seventh cranial nerve.</p><p>Damage to this nerve causes weakness or paralysis of these muscles. <a test="test" href="./003028.htm">Paralysis</a> means that you cannot use the muscles at all.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Sometimes, you may have a cold shortly before the symptoms of Bell palsy begin.</p><p>Symptoms most often start suddenly, but may take 2 to 3 days to show up. They do not become more severe after that.</p><p>Symptoms are almost always on one side of the face only. They may range from mild to severe.</p><p>Many people feel discomfort behind the ear before weakness is noticed. The face feels stiff or pulled to one side, and may look different. Other signs can include:</p><ul><li>Difficulty closing one eye</li><li>Difficulty eating and drinking; food falls out of one side of the mouth</li><li><a test="test" href="./003048.htm">Drooling</a> due to lack of control over the muscles of the face</li><li>Drooping of the face, such as the eyelid or corner of the mouth</li><li>Problems smiling, grimacing, or making facial expressions</li><li>Twitching or weakness of the muscles in the face </li></ul><p>Other symptoms that may occur:</p><ul><li>Dry eye, which may lead to eye sores or infections</li><li>Dry mouth</li><li>Headache if there is an infection such as Lyme disease</li><li>Loss of sense of <a test="test" href="./003050.htm">taste</a></li><li>Sound that is louder in one ear (hyperacusis)</li><li>Twitching in face </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Brain abscess	"<p>A brain abscess is a collection of pus, immune cells, and other material in the brain, usually from a bacterial or fungal infection.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may develop slowly, over a period of 2 weeks, or they may develop suddenly. They may include:</p><ul><li><a test="test" href="./003205.htm">Changes in mental status</a>, such as confusion, slow response or thinking, unable to focus, or sleepiness</li><li><a test="test" href="./003206.htm">Decreased ability to feel sensation</a></li><li>Fever and chills</li><li>Headache, <a test="test" href="./003200.htm">seizures</a>, or stiff neck</li><li>Language problems</li><li>Loss of muscle function, typically on one side</li><li>Vision changes</li><li>Vomiting</li><li>Weakness </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Basal cell skin cancer	"<p>Basal cell cancer is the most common form of cancer in the United States. Most skin cancers are basal cell cancer.</p><p>Basal cell cancer is almost always slow-growing.</p><p>Other common types of skin cancer are:</p><ul><li><a test="test" href="./000829.htm">Squamous cell</a></li><li><a test="test" href="./000850.htm">Melanoma</a></li></ul></div>"	</div></div><div class="section-body" id="section-2"><p>Basal cell cancer grows slowly and is usually painless. It may not look that different from your normal skin. You may have a skin bump or growth that is:</p><ul><li>Pearly or waxy</li><li>White or light pink</li><li>Flesh-colored or brown</li><li>A red, scaly patch of skin</li></ul><p>In some cases, the skin is just slightly raised, or even flat.</p><p>You may have:</p><ul><li>A skin sore that bleeds easily</li><li>A sore that does not heal</li><li>Oozing or crusting spots in a sore</li><li>A scar-like sore without having injured the area</li><li>Irregular blood vessels in or around the spot</li><li>A sore with a depressed (sunken) area in the middle</li></ul><img title="Skin cancer, basal cell carcinoma - nose" alt="Skin cancer, basal cell carcinoma - nose" src="//medlineplus.gov/ency/images/ency/fullsize/2368.jpg" class="img-e" itemprop="image"/></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Birthmarks - pigmented	"<p>A birthmark is a skin marking that is present at birth. Birthmarks include cafe-au-lait spots, moles, and Mongolian spots. <a test="test" href="./001440.htm">Birthmarks can also be red.</a></p></div>"	</div></div><div class="section-body" id="section-2"><p>Any type of birthmark is called a nevus. Each type has its own appearance:</p><ul><li>Cafe-au-lait spots are light tan, the color of coffee with milk.</li><li>Moles are small clusters of colored skin cells.</li><li><a test="test" href="./001472.htm">Mongolian spots</a> (also called Mongolian blue spots) are usually bluish or bruised-looking. They often appear over the lower back or buttocks. They are also found on other areas, such as the trunk or arms. </li></ul><p>Other symptoms of birthmarks are:</p><ul><li><a test="test" href="./003242.htm">Abnormally dark or light skin</a></li><li>Growth of hair from pigmented skin</li><li><a test="test" href="./003220.htm">Skin lesion</a> (area that is different from the skin around it)</li><li><a test="test" href="./003279.htm">Skin lumps</a></li><li>Textured skin that can be smooth, flat, raised, or wrinkled </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Body lice	"<p>Body lice are tiny insects (scientific name is <em>Pediculus humanus corporis</em>) that are spread through close contact with other people.</p><img title="Body louse" alt="Body louse" src="//medlineplus.gov/ency/images/ency/fullsize/1238.jpg" class="img-e" itemprop="image"/><p>Two other types of lice are:</p><ul><li><a test="test" href="./000840.htm">Head lice</a></li><li><a test="test" href="./000841.htm">Pubic lice</a></li></ul><img title="Head louse and pubic louse" alt="Head louse and pubic louse" src="//medlineplus.gov/ency/images/ency/fullsize/2641.jpg" class="img-e" itemprop="image"/></div>"	</div></div><div class="section-body" id="section-2"><p>Lice cause severe itching. The itching is an allergic reaction to the saliva from the insect\'s bite. Itching is usually worse around the waist, under the arms, and in places where clothing is tighter and closer to the body (such as near bra straps).</p><p>You may have red bumps on your skin. The bumps may scab or become crusty after scratching.</p><p>Skin around the waist or groin may become thickened or change color if you have been infected with lice in that area for a long time.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Balanitis	"<p>Balanitis is swelling of the foreskin and head of the penis.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms include:</p><ul><li>Redness of foreskin or <a test="test" href="./002279.htm">penis</a></li><li>Other rashes on the head of the penis</li><li>Foul-smelling discharge</li><li>Painful penis and foreskin</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bullous pemphigoid	"<p>Bullous pemphigoid is a skin disorder characterized by large <a test="test" href="./003939.htm">blisters</a>.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Some people have no symptoms. Others may have mild redness, itching and irritation.</p><p>In many cases, they are many blisters, called <a test="test" href="./003239.htm">bullae</a>. Blisters are usually located on the arms, legs, or middle of the body. The blisters may break open and form <a test="test" href="./003228.htm">ulcers</a> or open sores. Some people also develop blisters in the mouth. </p><p>Other symptoms may include:</p><ul><li><a test="test" href="./003217.htm">Itching</a></li><li><a test="test" href="./003220.htm">Rashes</a> that resemble <a test="test" href="./000845.htm">hives</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
